application/x-download;253
application/oleobject;248
image/x.djvu;240
application/vnd.tcpdump.pcap;228
text/x-log;228
image/svg;225
video/x-msvideo;224
application/zlib;218
image/x-pcx;216
text/directory;212
image/vnd.adobe.photoshop;212
image/x-photoshop;191
image/x-coreldraw;180
application/x-pdf;179
application/vnd.openxmlformats-officedocument.wordprocessingml.d;178
application/x-gzip-compressed;177
application/vnd.ms-word.document.macroenabled.12;175
application/epub+zip;171
application/encrypted;165
APPLICATION/PDF;164
application/x-x509-ca-cert;162
text/x-csrc;161
application/x-msexcel;160
video/x-ms-asf;154
application/x-wine-extension-ini;153
application/x-msi;152
application/x-compressed;148
video/x-ms-wmv;147
application/x-gzip;142
video/x-flv;134
application/x-setupscript;132
application/vnd.ms-project;132
text/javascript;131
application/x-extension-lic;129
text/css;129
application/x-ms-pdb;128
application/pgp-signature;125
application/vnd.oasis.opendocument.presentation;124
application/octetstream;121
application/pkcs7-signature;120
application/ms-tnef;118
audio/ogg;115
audio/x-m4a;114
application/x-java-keystore;113
audio/mp3;110
application/cdfv2-encrypted;109
application/vnd.ms-msi;108
image/x-eps;107
text/x-po;99
document/pdf;96
application/x-font-pfm;94
text/richtext;92
IMAGE/JPEG;90
image/jxr;89
text/x-sh;82
application/pgp;79
image/x-tiff;78
application/x-mspowerpoint;78
application/vnd.ms-word.document.12;77
application/vnd.ms-excel.sheet.macroEnabled.12;75
application/excel;75
application/x-ruby;74
application/x-bzip;73
application/vnd.apple.pkpass;73
application/vnd.visio;69
appliation/zip;69
application/x-pgp-keyring;67
application/x-tar-gz;66
application/x-compressed-tar;66
TEXT/HTML;64
text/pgp;60
text/x-vcalendar;60
audio/x-aiff;59
application/x-bittorrent;56
image/pcx;55
image/x-citrix-gif;52
application/x-ms-dos-executable;52
application/vnd.ms-xpsdocument;52
multipart/signed;50
image/jp2;49
application/applefile;49
audio/x-hx-aac-adts;48
application/download;48
image/x-xpmi;46
application/vnd.openxmlformats-officedocument.spreadsheetml.shee;45
audio/x-mpeg;42
application/winhelp;41
application/javascript;40
application/x-zip;40
image/psd;39
application/vnd.openxmlformats-officedocument.wordprocessingml.documen;39
image/tif;39
application/octet-streamn;39
video/x-matroska;37
image/x-xcf;37
application/x-sharing-metadata-xml;36
video/3gpp;35
application/binary;34
APPLICATION/OCTET-STREAM;33
text/x-changelog;32
application/vnd.adobe.air-application-installer-package;32
application/vnd.lotus-1-2-3;31
application/docx;31
image/g3fax;29
application/mixed;29
application/base64;28
audio/wav;28
application/x-file-download;27
text/x-chdr;27
x-unknown/octet-stream;27
application/x-tex-tfm;26
audio/amr;25
application/vnd.iccprofile;25
application/x-apple-msg-attachment;25
application/vnd.openxmlformats-officedocument.presentationml.pre;25
x-application/apple-pdf;24
message/news;24
application/x-javascript;24
application/x-dosdriver;24
binary/octet-stream;24
application/x-ms-excel;23
application/epub;23
application/x-webarchive;23
application/octet;22
IMAGE/TIFF;22
application/x-iwork-keynote-sffkey;21
application/x-unknown;21
image/*;20
application/vnd.ms-excel.12;19
file/pdf;19
image/vnd.microsoft.icon;19
application/vnd.ms-powerpoint.presentation.macroenabled.12;18
text/x-python-script;18
application/x-bzip2;18
application/x-shellscript;18
text/x-patch;18
video/x-fl;17
application/x-unknown-application-pdf;16
application/x-other-1;16
application/x-deb;16
application/x-apple-diskimage;16
x-epoc/x-sisx-app;16
application/x-unknown-application-octet-stream;16
application/vnd.ms-word;16
application/x-sql;15
audio/mp4;14
application/vnd.rim.cod;14
application/vnd.ms-publisher;14
application/x-force-download;13
application/vnd.rn-realmedia;13
file/rtf;13
application/vnd.fdf;13
application/x-ms-reader;13
image/eps;13
application/x-gnupg-keyring;12
image/vnd;12
chemical/x-cerius;12
video/x-m4v;12
APPLICATION/VND.MS-EXCEL;11
application/msaccess;11
video/avi;11
application/vnd.ms-officetheme;10
audio/x-zip;10
application/doc;10
video/msvideo;10
application/x-msmetafile;10
application/http-index-format;9
text/x-m4;9
application/onenote;9
application/x-ms-ese;9
application/vnd.openxmlformats-officedocument.wordprocessingml;9
application/vnd.openxmlformats-officedocume;9
image/x-win-bitmap;8
image/cur;8
text/x-moz-deleted;8
application/vnd.oasis.opendocument.graphics;8
application/smil;8
application/x-xpinstall;8
application/illustrator;7
text/x-c++src;7
application/msworks;7
application/vnd.ms-visio.drawing;7
text/x-tex;6
application/x-java-archive;6
application/x-rdp;6
application/x-arj;6
application/x-winhelp;6
IMAGE/PNG;6
text/pdf;6
application/macbinary;6
application/emz;6
audio/x-ms-wma;5
text/enriched;5
video/webm;5
application/x-dbt;5
application/x-dvi;5
application/x-compress;5
IMAGE/X-TIFF;5
IMAGE/PJPEG;5
application/x-php;4
application/x-gunzip;4
APPLICATION/MSWORD;4
application/xlsx;4
application/vnd.oasis.opendocument.formula;4
application/mspowerpoint;4
file/unknown;4
application/x-coredump;4
application/x-font-sfn;4
application/html;4
application/x-iwork-pages-sffpages;4
null/octet-stream;4
application/x-tgz;4
*/*;4
video/ogg;4
audio/x-mp4a-latm;4
application/x-debian-package;4
application/vnd.swiftview-tif;4
application/x-perl;4
image/vnd.ms-modi;4
application/x-itunes-itlp;4
image/vnd.dgn;3
application/eml;3
chemical/x-ncbi-asn1-ascii;3
audio/mid;3
application/x-winhelp-fts;3
application/x-rpm;3
application/powerpoint;3
text/rfc822-headers;3
application/vnd.ms-powerpoint.presentation.12;3
audio/midi;3
text/multipart;3
application/x-emc;3
application/vnd.openxmlformats-officedocument.presentationml.template;3
text/x-fortran;3
invalid/pdf;3
application/x-pkcs7-certificates;2
application/vnd.ms-powerpoint.12;2
image/x-nikon-nef;2
application/vnd.ms-access;2
application/vndopenxmlformats-officedocumentspreadsheetmlsheet;2
image/jpf;2
application/vnd.pdf;2
content/unknown;2
chemical/x-galactic-spc;2
pdf/octet-stream;2
chemical/x-chemdraw;2
application/pkix-cert;2
x-unknown/stream;2
application/pages;2
application/vnd.symbian.install;2
text/x-awk;2
text/x-csh;2
application/x-any;2
application/msonenote;2
application/x-wine-extension-skp;2
application/x-appleworks3;2
application/mindmanager;2
application/jpg;2
application/jpeg;2
application/x-bzip-compressed-tar;2
application/x-rpt;2
application/haansoftdoc;2
text/x-vhdl;2
application/x-photoshop;2
application/x-ole-storage;2
application/x-mspublisher;2
application/vnd.ms-powerpoint.presentation.macroEnabled.12;2
audio/3gpp;1
application/x-java-jnlp-file;1
audio/ima4;1
audio/m4a;1
image/x-portable-pixmap;1
application/vnd.wordprocessing-openxml;1
type/multipart;1
text/text;1
x-unknown/pdf;1
APPLICATION/pdf;1
"text/html; charset=iso-8859-1";1
application/defanged-70628;1
application/x-omnigraffle;1
application/tiff;1
application/defanged-70626;1
video/vnd.dlna.mpeg-tts;1
application/unknown;1
application/vnd.ms-excel.sheet.12;1
application/cgi;1
text/calender;1
plain/text;1
application/vnd.ms-word.document.macroEnabled.12;1
model/vnd.mts;1
video/x-ms-wm;1
application/x-stuffit;1
application/vnd.iwork.pages.archive;1
application/x-iso9660-image;1
x-unknown/unknown;1
application/x-unknown-application-vnd.ms-excel;1
application/vnd.openxmlformats-officedocument.spreadsheetml.template;1
application/mime;1
text/x-lisp;1
